Deutsch,English
Warum hast du mich angelogen?,Why did you lie to me?
Sie trägt einen coolen Hut.,She's wearing a cool hat.
Das Erdbeben hat die Mehrheit der Gebäud in der Stadt zerstört.,The earthquake destroyed most of the buildings in the city.
"Gib mir das Buch zurück, das ich dir geliehen habe.",Give me back the book I lent you.
In einem Jahr hat sich die Größe unseres Unternehmens verdoppelt.,"In one year, our company has doubled in size."
"Soweit ich weiß, ist sie immer noch single.","As far as I know, it is still single."
Wir haben in gutem Glauben gehandelt.,We acted in good faith.
Es ist ein sehr einfacher Prozess.,It's a very simple process.
Ich habe ein paar neue Möbel bestellt.,I ordered some new furniture.
Er hat den Ring an Hannahs Finger gesteckt.,He put the ring on Hannah's finger.
Ich habe es satt.,I'm tired of it.
Jeder verdient eine zweite Chance.,Everyone deserves a second chance.
Möge die Macht bei dir sein.,May the Force be with you.
Ich entdecke gerne neue Orte.,I like discovering new places.
"Niemand weiß, wo sie den Schatz vergraben haben.",No one knows where they buried the treasure.
Bitte zieh deine Schuhe aus.,Please take off your shoes.
"Es ist nicht erlaubt, in Nationalparks zu jagen.",It is not allowed to hunt in national parks.
Schau dir all diese schwarzen Wolken an. Ein Sturm kommt auf.,Look at all those black clouds. A storm is coming.
Liebe ist blind.,Love is blind.
Wie bekommt man ein Visum für Russland?,How to get a visa for Russia?
Wo kann ich mein Gepäck einsammeln?,Where can I collect my luggage?
"Ich kann beweisen, dass ich Recht habe.",I can prove that I am right.
"Stört es dich, wenn ich deinen Computer benutze?",Do you mind if I use your computer?
Ich habe zu lange vor dem Computer verbracht und jetzt tut mein Hals weh.,I spent too long in front of the computer and now my throat hurts.
Ich bin trotz des Regens spazieren gegangen.,I went for a walk in spite of the rain.
Seine Krankheit war vor allem psychologisch.,His illness was mainly psychological.
Ich habe mir freigenommen und bin nach Australien geflogen.,I took time off and flew to Australia.
"Als ich jünger war, hat meine Mutter mir jeden Tag Taschengeld gegeben.","When I was younger, my mother gave me pocket money every day."
Der Regen fällt gegen die Fensterscheiben.,The rain falls against the window panes.
"Scheue dich nicht, neue Leute kennen zu lernen.",Don't be afraid to meet new people.
Der zweite Teil von diesem Buch ist ineressanter.,The second part of this book is more interesting.
Vertrau mir! Ich weiß wovon ich rede!,Trust me! I know what I am talking about!
Ich habe mich an die Kultur dieses Landes gewöhnt.,I got used to the culture of this country.
Es riecht gut!,It smells good!
"Sie gibt immer 100 Prozent, was auch immer sie tut.",She always gives 100 percent whatever she does.
Die Terroristen haben einen Journalisten entführt.,The terrorists kidnapped a journalist.
Du hättest nicht so früh kommen müssen.,You didn't have to come so early.
Es ist ein ziemlich teueres Hotel.,It's a pretty expensive hotel.
"Ich habe gelesen, dass einer der Tiger aus dem Zirkus geflohen ist.",I read that one of the tigers escaped from the circus.
Sie mag Schuhe mit hohen Absätzen.,She likes shoes with high heels.
Wir können nicht aufgeben.,We can't give up.
Hast du diesen Film schon gesehen?,Have you seen this movie yet?
Danke für die ganze harte Arbeit.,Thanks for all the hard work.
"Sie hat sich eine Woche freigenommen, um ihre Eltern in einem anderen Land zu besuchen.",She took a week off to visit her parents in another country.
Ich muss sofort gehen. Ich muss meine Kinder aus dem Kindergarten abholen.,I have to leave right now. I have to pick up my kids from kindergarten.
Ich werde nirgends ohne dich hingehen.,I'm not going anywhere without you.
Das ist der schwerste Teil.,This is the hardest part.
Ich muss dir etwas sagen. Ärgere dich bitte nicht.,I have something to tell you. Please don't get upset.
Hast du dein Portemonnaie schon wieder vergessen?,Did you forget your wallet again?
"Wir haben den Flug verpasst, weil der Bus Verspätung hatte.",We missed the flight because the bus was late.
Wir haben mit zwei Punkten gewonnen.,We won by two points.
Ich muss diese Arbeit auf jeden Fall bis Morgen fertig kriegen.,I definitely have to get this work done by tomorrow.
Dieser Mann sieht aus wie eine Frau.,That man looks like a woman.
Wie kann ich dir vertrauen?,How can I trust you?
"Sie hat gefühlt, dass sie eine Veränderung in ihrem Leben braucht.",She felt she needed a change in her life.
"Bist du nicht froh, dass du Geburstag hast?",Aren't you glad it's your birthday?
"Heißt das, dass du es kaufen wirst?",Does that mean you'll buy it?
Lass uns im Schatten sitzen. Die Sonne ist zu heiß.,Let's sit in the shade. The sun is too hot.
"Gott hat Frauen geschaffen, um Männer zu zähmen.",God created women to tame men.
All das war eine große Lüge.,All this was a big lie.
Ich konnte meine Tränen nicht zurückhalten.,I couldn't hold back my tears.
"Es ist schwer, ihn zu überzeugen.",It is difficult to convince him.
Die Dämmerung naht. Bald brauchen wir uns keine Sorgen über Vampire zu machen.,The dawn is approaching. Soon we won't have to worry about vampires.
"Kurz gefasst, ich wurde gefeuert.","In a nutshell, I got fired."
Hattest du Alpträume?,Did you have nightmares?
Ohne Wasser kannst du nicht am Leben bleiben.,You can't stay alive without water.
Er hat das Auto angehalten.,He stopped the car.
Sie hat sich den Arm gebrochen.,She broke her arm.
Diese Spezies von Vögeln ist vom Aussterben bedroht.,This species of bird is endangered.
Ich lebe auf der anderen Seite vom Flur.,I live across the hall.
Mein Auto steht direkt um die Ecke geparkt.,My car is parked just around the corner.
Sie hat es gegen ihren Willen getan.,She did it against her will.
Ich bin tapfer und habe eine starke Willenskraft.,I am brave and have strong willpower.
"Er arbeitet hart, um sein Ziel zu erreichen.",He works hard to achieve his goal.
Ich habe meinen Militärdienst in Deutschland absolviert.,I did my military service in Germany.
Er wurde aus irgendeinem Grund gefeuert.,He was fired for some reason.
Wie groß bist du und wieviel wiegst du?,How tall are you and how much do you weigh?
"Es tut mir leid. Ich nehme zurück, was ich gesagt habe.",I'm sorry. I take back what I said.
Er hat seine Ziele endlich erreicht.,He finally achieved his goals.
Mit ihm zu diskutieren wird dir nichts bringen.,Arguing with him won't do you any good.
Diese Sängerin wurde aufgrund ihres Aussehens berühmt.,This singer became famous because of her looks.
"Es ist so insirierend, dich so hart arbeiten zu sehen.",It's so insirious to see you working so hard.
Meine Beförderung hängt von seiner Entscheidung ab.,My promotion depends on his decision.
Morgen ist der erste Schultag! Und wir haben so viele Dinge zu tun!,Tomorrow is the first day of school! And we have so many things to do!
Die Massenmedien spielen eine große Rolle in unserem Leben.,The mass media plays a big role in our lives.
"Ich hoffe, dass es unserer Freundschaft nicht schadet.",I hope it won't harm our friendship.
Ich bin diese Art von Behandlung nicht gewönht.,I am not used to this kind of treatment.
Der Präsident hat sich im Fernsehen live an das Volk gerichtet.,The president addressed the people on live television.
Sein Grundstück auf dem Land ist einen Haufen Geld wert.,His property in the country is worth a lot of money.
Du brauchst das Rad nicht neu erfinden.,You don't need to reinvent the wheel.
"Ich war zu fassungslos, um zu sprechen.",I was too stunned to speak.
Er hat ein natürliches Talent zum Singen.,He has a natural talent for singing.
Diese Person hat spezielle Fähigkeiten.,This person has special skills.
Kannst du etwas in diesen Dokumenten nachprüfen?,Can you verify anything in these documents?
Dieses Haus hat einen sehr kleinen ökologischen Fußabdruck.,This house has a very small environmental footprint.
Dieser Teppich ist zu lang für mein Wohnzimmer.,This carpet is too long for my living room.
Die Oberfläche von diesem See ist wie ein Spiegel.,The surface of this lake is like a mirror.
"Menschen sind die einzigen lebewesen, die Feuer benutzen.",Humans are the only creatures that use fire.
Die Polizei hat ein Ermittlungsverfahren eingeleitet.,The police have opened an investigation.
Es wird in zwei Wochen von alleine verschwinden.,It will disappear on its own in two weeks.
Mein Freund ist ein echter Bücherwurm.,My friend is a real bookworm.
"Um ehrlich zu sein, ist diese Szenario unwahrscheinlich.","To be honest, this scenario is unlikely."
Es war alles mit Staub bedeckt.,It was all covered with dust.
Der Kampf geht weiter.,The fight goes on.
"Komm runter vom Baum, Emma!","Come down from the tree, Emma!"
"Wer glaubst du, ist der Mörder?",Who do you think the killer is?
Das ist doof.,This is stupid.
Was ist deine größte Angst im Leben?,What's your biggest fear in life?
Ich mag den mitreißenden Rhythmus dieses Liedes.,I like the infectious rhythm of this song.
Starr nicht auf ihre Brüste.,Don't stare at her breasts.
Es war alles mit Staub bedeckt.,It was all covered with dust.
Hunde mit langem Haar sind so süß!,Dogs with long hair are so cute!
"Ich finde, du siehst gut aus",I think you look good
Die Besatzung hat sich für den Flug vorbereitet.,The crew has prepared for the flight.
Füllen Sie das bitte aus.,"Fill this out, please."
Du musst dich beruhigen.,You need to calm down.
Kannst du mir verzeihen?,Can you forgive me?
Du musst dich der Realität stellen.,You have to face reality.
Lass mich in Ruhe!,Leave me alone!
Sei kein Feigling!,Don't be a coward!
Sie trägt eine Menge Schmuck.,She's wearing a lot of jewelry.
Die beste Rache ist glücklich zu sein.,The best revenge is to be happy.
Meine Brust schmerzt.,My chest hurts.
Ich möchte deiner Freundschaft würdig sein.,I want to be worthy of your friendship.
"Er verurteilt jeden, immer.","He judges everyone, always."
Ich bin nicht dein Sklave.,I'm not your slave.
Die Wette gilt.,The bet is on.
Das Jagen ist in diesen Wäldern nicht erlaubt.,Hunting is not allowed in these woods.
Nenn mich nicht einen Verräter.,Don't call me a traitor.
Das ist lahm.,That's lame.
Meine Haare sind natürlich gelockt.,My hair is naturally curly.
"Ich wette, du bist hungrig.",I bet you're hungry.
Ich werde es lösen.,I'll solve it.
"Ich habe mit mir gekämpft, um konzentriert zu bleiben.",I struggled with myself to stay focused.
Die Berggipfel waren mit Schnee bedeckt.,The mountain tops were covered with snow.
Die Mönche fingen zu beten an.,The monks started praying.
Ich habe alles ruiniert.,I ruined everything.
Das wäre eine Verschwendung von deinem Talent.,That would be a waste of your talent.
Die Hitzewelle ist diesen Sommer sehr schnell vorübergegangen.,The heat wave passed very quickly this summer.
Die Wunde ist noch nicht verheilt.,The wound has not healed yet.
Gute Besserung!,Get well soon.
Ich bin komplett geheilt.,I'm completely healed.
Er ist ein lieber Riese.,He's a dear giant.
Ich muss Batterien kaufen.,I need to buy batteries.
Ich habe einen großen Stapel Dokumente auf meinem Schreibtisch.,I have a big stack of documents on my desk.
Das ist mein Geschäftspartner.,That's my business partner.
Lass uns die Treppe nehmen.,Let's take the stairs.
Sie ist sehr attraktiv.,She's very attractive.
"Ich war zu müde, um weiterzumachen.",I was too tired to continue.
Der Schmerz ist weg.,The pain is gone.
Bist du komplett bescheuert?,Are you completely nuts?
Wir haben eine Menge Erfahrung in diesem Gebiet.,We have a lot of experience in this area.
"Er mag es, Aufmerksamkeit anzuziehen.",He likes to attract attention.
Ich kann meine Wut nicht zurückhalten.,I can't hold back my anger.
"Ich wusste, dass du wütend werden würdest.",I knew you'd get angry.
Es geht ihm den Umständen entsprechend gut.,"He's doing well, considering the circumstances."
Der Plan ist gescheitert.,The plan has failed.
Füllen Sie dieses Formular bitte aus.,Please fill out this form.
Ich bin satt.,I am full.
"Ich möchte ein Fahrzeug, das mit Solarenergie läuft.",I want a vehicle that runs on solar power.
Ich möchte deine kostbare Zeit nicht verschwenden.,I don't want to waste your precious time.
Ich verwende gerne Olivenöl.,How long did you work in Canada?
Ich habe Höhenangst.,This tree has too many branches. We need to cut some off.
Wir haben Schach gespielt.,Don't talk to me like that.
"Die Angst vor dem Versagen hält viele Menschen davon ab, ihr volles Potenzial zu erreichen.",There are flies everywhere. Did you leave the window open?
Was ist dein Ziel?,I didn't think about the consequences.
"Er lebt in Südamerika. In Argentinien, um genau zu sein.",Did you turn off your computer?
Wo hast du meinen Werkzeugkasten hingestellt?,You have to obey the rules of the road.
Ich mache eine Kopie von diesem Dokument.,My grandfather is very healthy.
"Er wollte nicht zugeben, dass es sein Fehler war.","For some reason, he was very disappointed."
Du hast es fast richtig erraten.,I couldn't resist and took another piece of cake.
Ist es nicht süß?,Your new album is selling well.
Er ist hübsch und charmant.,The doctor checked my throat.
Ich hatte das ganze Wochenende Fieber.,I felt a raindrop on my hand.
Wir haben eine herzliche Begrüßung bekommen.,This technology is really something incredible!
Ich habe dir die Schlüssel am Empfang gelassen.,I have to pay back this loan as soon as possible.
Seine Berührung war zärtlich.,Brazil is my home country.
Lass uns diese Unterhaltung morgen weiterführen.,A water pipe exploded in the kitchen.
Er war sturzbetrunken im Club.,I've always been honest with you.
Bist du zum Feiern bereit?,This movie really plays with your emotions.
Enthält dieser Kuchen Butter?,Didn't you realize he was sad?
"Es ist zu gefährlich, den Fluss zu überqueren.",It's really remarkable.
Wir haben es schon im Detail besprochen.,How exciting!
Er geht mir auf die Nerven.,We were all very excited.
Zusammen oder getrennt?,You are very badly behaved.
Sie leben getrennt.,My cat destroyed my sofa.
Hast du im Moment eine Affäre mit jemandem?,A thousand dollars should cover all travel expenses.
Wie heißt dein WLAN?,"Sorry to stick my nose in your business, but.... "
Wir haben das Auto den Hügel hinaufgeschoben.,I'm out of my element here.
Ich stille mein Baby.,The storm took the roofs off some buildings.
Er ist hier in England ein bekannter Regisseur.,She has a very strong personality.
Sie hat einen Fehler gemacht und das Gift selber getrunken.,There's a rumor going around that they're together.
Aus irgendeinem Grund schmerzt meine rechte Schulter.,This place doesn't get much sunlight.
Ich habe nicht genug Platz in meinem Schrank.,Was there a lot of damage?
Wo ist die Taschenlampe? Ich kann sie nicht finden.,"In this story, there's a cloak that makes you invisible."
Normalerweise trainiere ich zwei Stunden pro Tag.,The possibilities are endless.
Du bist zu sensibel. Ich kann dir nichts sagen.,We made an agreement.
Das ist ein sehr nützlicher Ausdruck.,This company will start manufacturing next year.
"Die U-Bahn Station ist ziemlich weit von hier. Es ist besser, ein Taxi zu nehmen.",Almost every company is advertising online these days.
Sie ist äußerst attraktiv.,I need to charge my phone.
"Das ist etwas extrem, findest du nicht?",You need to connect these two cables.
Ich fühle mich verraten.,Try this! It has a super interesting taste!
Diese Banane ist verfault. Iss sie nicht!,We can make an exception this time.
Die Terroristen haben einen Journalisten entführt.,I can't find my gloves.
Die ganze Stadt war ohne Strom.,The movie was too boring for me.
"Er ist zu stur, um seine Fehler einzugestehen.",The workers went on strike.
Er hat Nerven aus Stahl.,We broke up.
Bist du taub oder was?,I can't make an exception.
Lesen Sie vor der Verwendung die Gebrauchsanweisung.,It's a complex problem.
Die Gesellschaft ist wegen der Politiker gespalten.,"Which is stronger, a tiger or a lion?"
Es ist eine Frage von Nationalstolz.,It was a real tragedy.
"Wörter können nicht ausdrücken, was ich gerade fühle.",Detroit is known for their auto industry.
Ich bin dir immer treu gewesen.,"You know that's illegal, right?"
Diese Information ist mir völlig neu.,We had an agreement. You broke it.
Was sind die Vor- und Nachteile?,I thought you were kidding when you said that.
Er brannte vor Wut.,I was sitting in my chair listening to music.
Kann ich mir dein Feuerzeug ausleihen?,The salesman showed me several different computers.
Heute ist die Eröffnungszeremonie der Olypischen Spiele.,She shook his hand in gratitude.
Sie war weiß gekleidet.,Did you go to the lecture?
"Gib mir ein paar Minuten, um mich anzuziehen.",I spent the weekend in a cabin in the middle of nowhere.
Das ist eklig.,Words are sometimes more powerful than fists.
Aus irgendeinem Grund ist mein Auto heute Morgen nicht angesprungen.,It was a huge sacrifice for me.
Mein Hund hat diesen Stock den ganzen Tag mit sich getragen.,You need to press that button.
Das Gesicht einer Person kann eine Menge über ihren Charakter sagen.,I'll always support you.
Meine Schwester macht bemerkenswerte Fortschritte mit ihrem Englisch.,I was bitten by a mosquito.
Ich ziehe mich gerne so an.,I can't focus on one subject for long.
"Vergiss nicht, den Müll rauszubringen.",It's probably just a coincidence.
Was war dein Lieblingsfach in der Schule?,Did you put nuts in the salad?
Mein Großvater hat diesen Brunnen mit seinen eigenen Händen gebaut.,It's super hard to open a coconut.
Setz mich gegenüber von der Schule ab.,I underestimated you.
In welchem jahr hat der zweite Weltkrieg begonnen?,It was a complete disaster.
Du gehörst einer anderen Generation an.,The garden is covered in leaves.
Du bist super großzügig.,I have another appointment.
Er hat den Käfig geöffnet und alle Vögel befreit.,Why did you choose this particular subject?
Sie werden diesen Film in einer Wüste in Marokko drehen.,I can manage.
Enthält dieser Kuchen Weizen? Ich kann kein Gluten essen.,Estimate the economy will make it out of the crisis this year.
Die Spannung zweischen diesen zwei Ländern steigt.,"Your toys are everywhere, in every single room."
Reich mir bitte ein Handtuch.,My nail is broken.
"Achte darauf, genug Wasser zu trinken.",What activities are there for children?
"Ich bräuchte eine Leiter, um daran zu kommen.",Your bronze medal was stolen!
Wir haben im Kreis gesessen.,This soup tastes like onions.
Sie war schon immer sehr anspruchsvoll.,Does shipping eat for free?
Ich verstehe es nicht.,Don't forget to take your pill.
Du kannst nicht immer vor deinen Problemen fliehen.,What university did you graduate from?
Er hat mit mir Schluss gemacht.,I've only read the first three chapters.
Wie kannst du so grausam sein?,I want you to analyze this.
Was ist dein Lieblingstrickfilm?,Three generations of our family are here tonight.
Hast du das wirklich selbst gezeichnet?,Bad handwriting is the mark of a genius.
Kühe sind in Indien heilige Tiere.,I would like a cup of tea.
"Dieser Fluss fließt zu schnell, um darin zu schwimmen.",I write poetry in my spare time.
Ich habe einen leichten Schlaf.,Why is the head of this statue missing?
Das ist ein echter Diamant.,Keep this dog away from me?
Wir haben nichts zu befürchten.,In summer I often wear T-shirts with short sleeves.
Er hat mich auf ein Date eingeladen.,A crocodile bit his right leg.
Ich kenne ihn persönlich.,You were very drunk.
Du musst organisierter in deiner Arbeit sein.,I have to pay back the loan.
Wir haben eine große party veranstaltet.,This car meets my needs exactly.
"Ich bin unschuldig, ich habe nichts getan!",The dog dug a deep hole in the garden.
Diese Krone ist aus purem Gold gemacht.,He is known for his great wisdom.
Dieser Filmstar ist wirklich talentiert.,You need to preheat the oven to two hundred degrees.
Wir hatten einen langen Fortbildungstag.,What does this symbol mean?
Wie lange hast du in Kanada gearbeitet?,How long did you work in Canada?
Dieser Baum hat zu viele Äste. Wir müssen ein paar abschneiden.,This tree has too many branches. We need to cut some off.
Rede nicht auf so eine Art mit mir.,Don't talk to me like that.
Überall sind Fliegen. Hast du das Fenster offen gelassen?,There are flies everywhere. Did you leave the window open?
Ich habe nicht über die Konsequenzen nachgedacht.,I didn't think about the consequences.
Hast du deinen Computer ausgeschaltet?,Did you turn off your computer?
Du musst die Straßenverkehrsregeln befolgen.,You have to obey the rules of the road.
Mein Großvater ist sehr gesund.,My grandfather is very healthy.
Aus irgendeinem Grund war er sehr enttäuscht.,"For some reason, he was very disappointed."
Ich konnte nicht widerstehen und habe ein weiteres Stück Kuchen genommen.,I couldn't resist and took another piece of cake.
Ihr neues Album verkauft sich gut.,Your new album is selling well.
Der Arzt hat meine Kehle untersucht.,The doctor checked my throat.
Ich habe einen Regentropfen auf meiner Hand gespürt.,I felt a raindrop on my hand.
Diese Technologie ist wirklich etwas unglaubliches!,This technology is really something incredible!
Ich muss diesen Kredit so schnell wie möglich zurückzahlen.,I have to pay back this loan as soon as possible.
Brasilien ist mein Heimatland.,Brazil is my home country.
In der Küche ist ein Wasserohr explodiert.,A water pipe exploded in the kitchen.
Ich war immer ehrlich zu dir.,I've always been honest with you.
Dieser Film spielt wirklich mit deinen Emotionen.,This movie really plays with your emotions.
"Hast du nicht gemerkt, dass er traurig ist?",Didn't you realize he was sad?
Das ist wirklich bemerkenswert.,It's really remarkable.
Wie aufregend!,How exciting!
Wir waren alle sehr aufgeregt.,We were all very excited.
Sie sind sehr schlecht erzogen.,You are very badly behaved.
Meine Katze hat mein Sofa zerstört.,My cat destroyed my sofa.
Tausend Dollar sollten alle Reisekosten decken.,A thousand dollars should cover all travel expenses.
"Entschuldige, dass ich meine Nase in deine Angelegenheiten stecke, aber... ","Sorry to stick my nose in your business, but.... "
Ich bin hier nicht in meinem Element.,I'm out of my element here.
Der Sturm hat die Dächter einiger Gebäude abgerissen.,The storm took the roofs off some buildings.
Sie hat eine sehr starke Persönlichkeit.,She has a very strong personality.
"Es geht ein Gerücht herum, dass sie zusammen sind.",There's a rumor going around that they're together.
Diese Wohnung bekommt nicht viel Sonnenlicht.,This place doesn't get much sunlight.
Gab es viele Schäden?,Was there a lot of damage?
"In dieser Geschichte gibt es einen Umhang, der dich unsichtbar macht.","In this story, there's a cloak that makes you invisible."
Die Möglichkeiten sind endlos.,The possibilities are endless.
Wir haben eine Vereinbarung getroffen.,We made an agreement.
Diese Firma wird nächstes Jahr mit der Herstellung beginnen.,This company will start manufacturing next year.
Fast jede Firma macht heutzutage online Werbung.,Almost every company is advertising online these days.
Ich muss mein Handy aufladen.,I need to charge my phone.
Du musst diese zwei Kabel verbinden.,You need to connect these two cables.
Probiere das! Es hat einen super interessanten Geschmack!,Try this! It has a super interesting taste!
Wir können dieses Mal eine Ausnahme machen.,We can make an exception this time.
Ich kann meine Handschuhe nicht finden.,I can't find my gloves.
Der Film war mir zu langweilig.,The movie was too boring for me.
Die Arbeiter sind in den Streik getreten.,The workers went on strike.
Wir haben uns getrennt.,We broke up.
Ich kann keine Ausnahme machen.,I can't make an exception.
Das ist ein komplexes Problem.,It's a complex problem.
"Was ist stärker, ein Tiger oder ein Löwe?","Which is stronger, a tiger or a lion?"
Es war eine wahre Tragödie.,It was a real tragedy.
Detroit ist für ihre Autoindustrie bekannt.,Detroit is known for their auto industry.
"Du weißt, dass das illegal ist, oder?","You know that's illegal, right?"
Wir hatten eine Abmachung. Du hast sie gebrochen.,We had an agreement. You broke it.
"Ich dachte, du machst Spaß, als du das gesagt hast.",I thought you were kidding when you said that.
Ich saß in meinem Sessel und hörte Musik.,I was sitting in my chair listening to music.
Der Verkäufer hat mir mehrere verschiedene Computer gezeigt.,The salesman showed me several different computers.
Sie hat ihm aus Dankbarkeit die Hand geschüttelt.,She shook his hand in gratitude.
Bist du zur Vorlesung gegangen?,Did you go to the lecture?
Ich habe das Wochenende in einer Hütte mitten im Nichts verbracht.,I spent the weekend in a cabin in the middle of nowhere.
Wörter sind manchmal mächtiger als Fäuste.,Words are sometimes more powerful than fists.
Es war ein riesiges Opfer für mich.,It was a huge sacrifice for me.
Du musst auf diesen Knopf drücken.,You need to press that button.
Ich werde dich immer unterstützen.,I'll always support you.
Eine Mücke hat mich gestochen.,I was bitten by a mosquito.
Ich kann mich nicht lange auf ein einziges Thema konzentrieren.,I can't focus on one subject for long.
Es ist wahrscheinlich nur ein Zufall.,It's probably just a coincidence.
Hast du Nüsse in den Salat getan?,Did you put nuts in the salad?
"Es ist super schwierig, eine Kokosnuss zu öffnen.",It's super hard to open a coconut.
Ich habe dich unterschätzt.,I underestimated you.
Es war ein komplettes Desaster.,It was a complete disaster.
Der Garten ist mit Laub bedeckt.,The garden is covered in leaves.
Ich habe eine andere Verabredung.,I have another appointment.
Warum hast du dieses konkrete Thema ausgewählt?,Why did you choose this particular subject?
Ich komme zurecht.,I can manage.
Schätzungsweise wird die Wirtschaft es dieses Jahr aus der Krise schaffen.,Estimate the economy will make it out of the crisis this year.
"Deine Spielsachen sind überall, in jedem einzelnen Zimmer.","Your toys are everywhere, in every single room."
Mein Nagel ist abgebrochen.,My nail is broken.
Welche Aktivitäten gibt es für Kinder?,What activities are there for children?
Ihre Bronzemedaille wurde gestohlen!,Your bronze medal was stolen!
Diese Suppe schmeckt nach Zwiebeln.,This soup tastes like onions.
Isst der Versand kostenlos?,Does shipping eat for free?
"Vergiss nicht, deine Pille zu nehmen.",Don't forget to take your pill.
An welcher Universität hast du deinen Abschluss gemacht?,What university did you graduate from?
Ich habe nur die ersten drei Kapitel gelesen.,I've only read the first three chapters.
"Ich möchte, dass du das hier analysierst.",I want you to analyze this.
Drei Generationen unserer Familie sind heute Abend hier.,Three generations of our family are here tonight.
Eine schlechte Handschrift ist das Markenzeichen eines Genies.,Bad handwriting is the mark of a genius.
Ich hätte gerne eine Tasse Tee.,I would like a cup of tea.
In meiner Freizeit schreibe ich Gedichte.,I write poetry in my spare time.
Warum fehlt der Kopf dieser Statue?,Why is the head of this statue missing?
Halte diesen Hund von mir fern?,Keep this dog away from me?
Im Sommer trage ich oft T-Shirts mit kurzen Ärmeln.,In summer I often wear T-shirts with short sleeves.
Ein Krokodil hat ihm in sein rechtes Bein gebissen.,A crocodile bit his right leg.
Sie waren sehr betrunken.,You were very drunk.
Ich muss den Kredit zurückzahlen.,I have to pay back the loan.
Diese Auto erfüllt genau meine Bedürfnisse.,This car meets my needs exactly.
Der Hund hat ein tiefes Loch im Garten gegraben.,The dog dug a deep hole in the garden.
Er ist für seine große Weisheit bekannt.,He is known for his great wisdom.
Du musst den Ofen auf zweihundert Grad vorheizen.,You need to preheat the oven to two hundred degrees.
Was bedeutet dieses Symbol?,What does this symbol mean?
Die Feuerwehr hat die Flammen schnell gelöscht.,Firefighters quickly extinguished the flames.
Hawaii ist ein beliebtes Reiseziel.,Hawaii is a popular tourist destination.
Offiziell daten wir nicht.,"Officially, we don't date."
Hast du den Mülleimer geleert?,Did you empty the trash can?
Der Trainer von diesem Team hat unerwartet gekündigt.,The coach of this team quit unexpectedly.
Die Arbeitslosenquote ist um zehn Prozent gestiegen.,Unemployment is up ten percent.
Du brauchst das Rad nicht neu erfinden.,You don't have to reinvent the wheel.
Ich brauche dein Mitleid nicht.,I don't need your pity.
Könntest du den Salat umrühren?,Could you stir the salad?
Eine Mücke hat mich gestochen.,I was bitten by a mosquito.
Ich habe mit dem polnischen Botschafter gesprochen.,I spoke with the Polish ambassador.
Wir haben eine freundliche Atmosphäre im Büro.,We have a friendly atmosphere in the office.
Warum fühlst du dich bedroht?,Why do you feel threatened?
Dieses Loch ist zu klein. Grabe weiter!,This hole is too small. Keep digging!
Die Vulkanasche hat den gesamten Luftverkehr gestoppt.,The volcanic ash has stopped all air traffic.
Die Wellen sind heute sehr groß.,The waves are very big today.
Wir haben unsere Garage in ein Büro umgewandelt.,We turned our garage into an office.
Das Telefon hat geklingelt.,The phone rang.
Ich habe dich gewarnt.,I warned you.
Wo ist dein Atelier?,Where is your studio?
"Ich mag es, mit Wasserfarben zu malen.",I like to paint with watercolors.
"Sie hat mich beschuldigt, ein Lügner zu sein.",She accused me of being a liar.
Das scheint geradezu unmöglich zu sein!,That seems downright impossible!
"Ich bezweifle, dass er zuhause sein wird.",I doubt he'll be home.
Gib mir einen Tipp.,Give me a hint.
Wir werden am meisten durch unser Umfeld beeinflusst.,We are most influenced by our surroundings.
"Ja, klar.","Yeah, right."
Das ist ekelhaft.,That's disgusting.
Er unterrichtet Englisch an einem Gymnasium.,He teaches English at a high school.
"Es ist etwas unheimlich, alleine hier zu sein.",It's a little scary being here alone.
Ich muss die Schulden zurückzahlen.,I have to pay back the debt.
Ich habe die Tür aus reiner Neugier geöffnet.,I opened the door out of curiosity.
Wo sind alle Lehrer?,Where are all the teachers?
Es ist aus Leder.,It's made of leather.
Ich habe Seife in die Augen bekommen.,I got soap in my eyes.
Das ist die erste offizielle Auslandsreise des Premierministers.,This is the Prime Minister's first official trip abroad.
Versuche dich dieses Wochenende zu entspannen.,Try to relax this weekend.
Entschuldigung. Ich wollte nicht unterbrechen.,Sorry. I didn't mean to interrupt.
Halte dich von ihr fern.,Stay away from her.
Er wurde als Leiter unseres Teams ausgewählt.,He was chosen to lead our team.
Es war nur ein Witz.,It was just a joke.
Sind alle Haie gefährlich?,Are all sharks dangerous?
Unterschätze deinen Gegner nicht.,Don't underestimate your opponent.
Meine Uhr ist sehr genau.,My watch is very accurate.
Ich kapiere es einfach nicht.,I just don't get it.
Wir gehen dieses Wochenende segeln.,We're going sailing this weekend.
Habe ich richtig verstanden?,Did I get that right?
Sie beobachtet gerne andere Menschen.,She likes to watch other people.
Hast du das absichtlich getan?,Did you do that on purpose?
Ist das ein echter Diamant an deinem Ring?,Is that a real diamond on your ring?
Sei nicht so ein Egoist.,Don't be such a selfish person.
Wir würden lieber in den Park als in den Zoo gehen.,We'd rather go to the park than the zoo.
Dichter Nebel bedeckt die Straße.,Thick fog covers the street.
Ein neues Gebäude ist gegenüber von unserem Büro im Bau.,A new building is under construction across the street from our office.
Wie ist der Wetterbericht für morgen?,What's the weather forecast for tomorrow?
Unsere Probleme sind nichts verglichen mit ihren.,Our problems are nothing compared to theirs.
